pid,location,sesid,T,lotteryposition,transfer,payment,kull,sex,age,polparty,cr,cr1,cr2,cr3
186,1,3,2,Y,200,500,9,2,22,4,1,0,0,1
188,1,3,1,Y,400,200,1,1,21,1,3,1,1,1
189,1,3,1,Y,400,500,9,1,22,5,3,1,1,1
190,1,3,2,Y,0,300,2,2,37.25,NA,0,0,0,0
191,1,3,2,Y,800,900,2,1,22,6,0,0,0,0
192,1,3,2,Y,400,500,9,1,20,6,3,1,1,1
193,1,3,1,Y,300,500,1,2,20,2,0,0,0,0
194,1,3,1,Y,400,500,1,1,21,5,1,0,1,0
195,1,3,2,G,400,700,1,2,20,5,3,1,1,1
196,1,3,2,Y,400,100,2,2,23,2,0,0,0,0
197,1,3,1,Y,400,500,1,2,19,1,2,0,1,1
198,1,3,3,Y,0,500,1,1,28,7,1,0,1,0
199,1,3,1,Y,400,500,1,2,22,NA,0,0,0,0
200,1,3,2,G,400,100,1,1,23,NA,3,1,1,1
201,1,3,3,Y,0,100,1,2,20,2,3,1,1,1
202,1,3,2,Y,400,100,9,2,20,2,0,0,0,0
203,1,3,3,Y,400,900,1,2,27,6,0,0,0,0
204,1,3,3,Y,300,100,9,2,21,2,1,0,1,0
205,1,3,3,Y,400,100,2,2,25,2,2,1,0,1
206,1,3,3,Y,0,100,1,2,23,NA,0,0,0,0
208,1,3,2,G,400,100,2,1,27,5,3,1,1,1
209,1,3,1,Y,400,100,9,2,20,1,0,0,0,0
210,1,3,3,Y,300,100,1,2,20,6,1,1,0,0
211,1,3,1,Y,300,500,9,1,22,5,3,1,1,1
212,1,3,3,Y,400,100,1,1,20,2,1,0,1,0
213,1,3,1,Y,400,100,9,2,19,2,0,0,0,0
214,1,3,3,Y,400,100,1,1,21,2,2,1,0,1
215,1,3,2,G,400,500,9,1,22,2,2,0,1,1
216,2,7,3,Y,400,700,1,2,20,2,3,1,1,1
217,2,7,1,Y,0,500,1,1,21,7,3,1,1,1
218,2,7,3,Y,350,700,1,1,21,2,2,0,1,1
219,2,7,2,G,300,100,1,1,20,6,0,0,0,0
220,2,7,2,Y,200,400,1,2,22,2,3,1,1,1
221,2,7,2,G,300,500,1,1,21,5,1,0,0,1
222,2,7,1,Y,400,500,1,1,20,5,3,1,1,1
223,2,7,1,Y,400,500,1,1,24,7,1,0,0,1
224,2,7,3,Y,10,300,1,1,21,6,2,0,1,1
225,2,7,3,Y,400,300,1,2,21,4,2,1,0,1
226,2,7,1,Y,400,500,1,2,20,6,0,0,0,0
227,2,7,1,Y,400,500,1,1,21,6,3,1,1,1
228,2,7,2,G,400,600,1,1,22,6,1,0,0,1
230,2,7,3,Y,400,500,1,2,22,2,1,0,1,0
231,2,7,2,G,300,100,1,2,23,2,0,0,0,0
232,2,7,3,Y,0,500,1,2,20,NA,2,0,1,1
233,2,7,3,Y,0,550,1,1,21,6,3,1,1,1
235,2,7,1,Y,400,500,2,2,24,6,1,0,0,1
236,2,7,2,Y,0,500,1,1,22,6,2,1,0,1
237,2,7,1,Y,400,500,1,2,21,2,2,0,1,1
238,2,7,1,Y,10,500,1,1,20,NA,0,0,0,0
239,2,7,1,Y,400,110,1,2,20,2,0,0,0,0
240,2,7,1,Y,400,500,2,2,24,NA,1,0,1,0
241,2,7,2,G,300,500,1,1,22,6,3,1,1,1
242,2,7,2,Y,200,900,1,1,21,6,2,0,1,1
243,2,7,3,Y,0,900,1,1,21,6,3,1,1,1
244,2,7,2,Y,300,400,1,2,21,2,3,1,1,1
245,2,7,1,Y,400,500,1,1,20,6,2,0,1,1
246,2,7,3,Y,400,900,1,2,21,2,3,1,1,1
247,2,7,3,Y,400,500,1,1,22,2,2,1,0,1
248,2,7,2,G,400,600,1,1,21,5,3,1,1,1
249,2,7,2,G,400,400,1,1,21,6,1,0,1,0
250,2,7,2,Y,400,900,2,1,24,2,1,0,0,1
251,2,7,1,Y,200,890,1,2,20,7,2,0,1,1
252,2,7,1,Y,400,500,1,2,20,2,0,0,0,0
253,2,7,3,Y,400,450,2,1,25,5,3,1,1,1
254,2,7,3,Y,400,100,1,1,20,NA,3,1,1,1
255,2,7,2,Y,0,600,2,1,24,6,2,0,1,1
256,2,7,1,Y,400,500,1,2,22,2,0,0,0,0
257,2,7,2,Y,0,500,1,1,21,1,3,1,1,1
258,2,7,3,Y,400,875,1,1,22,3,3,1,1,1
259,2,7,3,Y,400,100,1,1,20,4,3,1,1,1
260,2,7,3,Y,25,900,1,1,23,4,3,1,1,1
261,2,7,3,Y,300,500,1,1,20,2,1,1,0,0
262,2,7,1,Y,400,500,1,1,21,7,1,0,0,1
263,2,7,2,Y,0,100,1,1,23,2,2,1,0,1
264,2,7,1,Y,400,500,1,1,23,5,3,1,1,1
268,2,7,1,Y,400,500,1,2,19,6,0,0,0,0
269,2,7,1,Y,300,500,1,2,20,6,2,1,0,1
270,2,7,3,Y,200,900,1,1,21,6,2,1,1,0
271,2,7,2,Y,200,900,1,1,21,6,3,1,1,1
272,2,7,3,Y,200,125,2,1,26,6,3,1,1,1
273,2,7,2,Y,400,900,1,1,20,6,3,1,1,1
274,2,7,1,Y,400,500,1,1,21,7,3,1,1,1
275,2,7,1,Y,300,500,2,1,22,6,2,1,1,0
276,2,7,2,Y,400,100,1,2,23,6,2,0,1,1
277,2,7,3,Y,300,900,1,2,21,6,2,1,0,1
278,2,5,3,Y,200,500,1,2,22,3,1,0,0,1
279,2,5,3,Y,200,900,1,1,21,6,3,1,1,1
280,2,5,1,Y,400,500,1,1,23,6,3,1,1,1
281,2,5,1,Y,400,900,2,2,22,NA,0,0,0,0
282,2,5,1,Y,400,500,2,1,24,6,3,1,1,1
283,2,5,2,Y,0,300,2,2,23,6,0,0,0,0
284,2,5,2,G,200,700,1,2,21,6,3,1,1,1
285,2,5,3,Y,25,400,2,2,23,6,3,1,1,1
286,2,5,3,Y,400,500,2,1,25,2,0,0,0,0
287,2,5,2,G,100,100,2,1,25,2,1,0,0,1
288,2,5,2,Y,400,500,1,1,21,2,0,0,0,0
289,2,5,3,Y,400,500,1,2,21,4,2,1,0,1
290,2,5,3,Y,100,100,1,2,20,NA,2,0,1,1
291,2,5,1,Y,400,500,1,1,20,2,3,1,1,1
292,2,5,1,Y,400,100,2,2,25,1,2,0,1,1
293,2,5,2,Y,300,300,1,2,21,2,2,1,0,1
294,2,5,3,Y,400,600,1,2,21,6,2,1,1,0
295,2,5,1,Y,300,500,1,1,23,NA,3,1,1,1
296,2,5,1,Y,400,700,2,1,21,6,2,1,0,1
297,2,5,1,Y,300,500,2,1,25,6,3,1,1,1
298,2,5,1,Y,200,600,2,1,26,6,0,0,0,0
299,2,5,1,Y,400,300,2,2,23,2,2,1,1,0
300,2,5,1,Y,400,500,2,1,26,7,0,0,0,0
301,2,5,2,Y,300,100,1,2,20,6,0,0,0,0
302,2,5,2,G,400,400,1,2,21,6,2,1,0,1
303,2,5,3,Y,400,500,1,1,21,4,2,1,0,1
304,2,5,2,Y,0,100,2,1,24,6,3,1,1,1
305,2,5,1,Y,400,600,2,1,23,2,2,0,1,1
306,2,5,3,Y,200,500,1,2,21,6,2,1,0,1
307,2,5,1,Y,400,500,2,1,25,2,3,1,1,1
308,2,5,3,Y,400,500,1,2,22,5,2,1,0,1
309,2,5,2,G,300,500,1,2,20,6,0,0,0,0
310,2,5,3,Y,0,300,1,1,22,6,3,1,1,1
311,2,5,2,G,400,500,1,1,20,4,3,1,1,1
312,2,5,1,Y,300,400,1,2,21,7,1,0,0,1
313,2,5,3,Y,350,700,1,1,23,5,2,1,0,1
314,2,5,1,Y,400,900,2,2,22,6,1,0,0,1
315,2,5,3,Y,200,875,2,1,24,2,0,0,0,0
316,2,5,3,Y,800,125,2,1,24,7,3,1,1,1
317,2,5,1,Y,400,900,1,2,20,NA,3,1,1,1
318,2,5,2,G,0,100,1,1,25,4,0,0,0,0
319,2,5,3,Y,300,500,1,2,23,6,3,1,1,1
320,2,5,2,G,300,700,1,1,21,6,2,1,0,1
321,2,5,3,Y,400,600,2,2,22,6,0,0,0,0
323,2,5,2,Y,200,500,2,1,23,6,3,1,1,1
324,2,5,1,Y,0,400,2,1,24,6,2,1,0,1
325,2,5,3,Y,300,500,1,2,24,6,3,1,1,1
326,2,5,3,Y,400,900,1,1,20,6,3,1,1,1
327,2,5,2,G,300,100,1,1,21,6,2,0,1,1
328,2,5,2,Y,400,600,1,2,21,6,2,0,1,1
329,2,5,1,Y,400,500,2,1,27,6,2,1,0,1
330,2,5,1,Y,400,900,1,2,23,2,1,0,0,1
331,2,5,1,Y,300,900,1,2,22,6,3,1,1,1
